Trip_Distance_km,Time_of_Day,Day_of_Week,Passenger_Count,Traffic_Conditions,Weather,Base_Fare,Per_Km_Rate,Per_Minute_Rate,Trip_Duration_Minutes,Trip_Price,Distance_Cost,Time_Cost,Avg_Speed,Is_Peak,Is_Weekend,High_Traffic,Bad_Weather,Traffic_Time,Distance_per_Min,Fare_per_Km,Distance_Bin
19.35,Morning,Weekday,3.0,Low,Clear,3.56,0.8,0.32,53.82,36.2624,15.480000000000002,17.2224,21.57166586771608,1,0,0,0,0.0,0.3529733673841664,0.17493857493857493,"(10.982, 20.734]"
36.87,Evening,Weekend,1.0,High,Clear,2.7,1.21,0.15,37.27,52.9032,44.6127,5.5905000000000005,59.35509490053822,1,1,1,0,37.27,0.9634178207473215,0.07129654079746502,"(30.486, 40.238]"
30.33,Evening,Weekday,4.0,Low,,3.48,0.51,0.15,116.81,36.4698,15.4683,17.5215,15.579065598498765,1,0,0,0,0.0,0.2574484339190221,0.1110756463453559,"(20.734, 30.486]"
25.87,Evening,Weekday,3.0,High,Clear,2.93,0.63,0.32,22.64,15.618000000000002,16.2981,7.244800000000001,68.55825375652589,1,0,1,0,22.64,1.094331641285956,0.10904354298474135,"(20.734, 30.486]"
8.64,Afternoon,Weekend,2.0,Medium,Clear,2.55,1.71,0.48,89.33,60.2028,14.7744,42.8784,5.8031626340805955,0,1,0,0,0.0,0.09564928595151113,0.26452282157676343,"(1.181, 10.982]"
3.85,Afternoon,Weekday,4.0,High,Rain,3.51,1.66,0.29,5.05,11.2645,6.391,1.4645,45.73714014176534,0,0,1,1,5.05,0.6363636363636364,0.7237113402061855,"(1.181, 10.982]"
43.44,Evening,Weekend,3.0,,Clear,2.97,1.87,0.23,61.57,101.1216,81.2328,14.161100000000001,42.33189216931457,1,1,0,0,0.0,0.6942624260827872,0.06683168316831684,"(40.238, 49.99]"
35.7,Afternoon,Weekday,2.0,Low,Rain,3.39,1.52,0.47,61.57,75.5657,54.264,28.9379,34.78933127174333,0,0,0,1,0.0,0.570560971711683,0.09237057220708446,"(30.486, 40.238]"
25.87,Morning,Weekday,4.0,,Clear,2.4,0.58,0.43,26.34,14.892,15.0046,11.3262,58.92804264139769,1,0,0,0,0.0,0.9462326261887345,0.08931894305917379,"(20.734, 30.486]"
41.79,Night,Weekend,3.0,High,Clear,4.6,1.77,0.11,86.95,88.13279999999999,73.9683,9.5645,28.83706380404505,0,1,1,0,86.95,0.47515633882888003,0.10750175274596868,"(40.238, 49.99]"
